sample,raw,trimmed,mapped,percentage_unique,mapped_and_filtered,percentage_unique_mapped_and_filtered,in_peaks,percent_in_peaks,broadPeak_count,narrowPeak_count,PBC,NSC,RSC
GR_FLAG_rep1_0hr_FOSL2,41888328,41693064,36684363,87.98672844,29615708,71.032697429,1165574,3.93566144021,N/A,17349,0.579594,1.067871,1.850466
GR_FLAG_rep1_1hr_FOSL2,38857617,38636347,33698103,87.2186570847,24497690,63.4058131842,1525813,6.22839541198,N/A,23812,0.548803,1.127696,1.921831
GR_FLAG_rep1_12hr_FOSL2,38605988,38420605,33702643,87.720229809,27356477,71.2026190113,162729,0.594846332004,N/A,4014,0.597472,1.020959,1.662871
GR_FLAG_rep1_4hr_FOSL2,34958648,34732366,30223274,87.0176077265,22832680,65.7389133813,859650,3.76499823937,N/A,16865,0.578867,1.078947,1.965195
GR_FLAG_rep1_8hr_FOSL2,36205142,36022199,31561015,87.6154590118,27284813,75.7444402547,1281935,4.6983462925,N/A,18673,0.644435,1.099389,1.782389
GR_FLAG_rep1_0hr_JunB,39183807,38979770,34589777,88.7377657693,27828492,71.3921400768,2742773,9.85598860334,N/A,32664,0.595894,1.180654,1.749241
GR_FLAG_rep1_1hr_JunB,37347800,37077494,32516192,87.6979226266,21121242,56.9651282258,1666858,7.89185598082,N/A,25602,0.494264,1.199007,1.931505
GR_FLAG_rep1_12hr_JunB,43054690,42854922,37696176,87.9623022065,30272048,70.6384391506,525396,1.73558128608,N/A,9139,0.574313,1.035028,1.795401
GR_FLAG_rep1_4hr_JunB,33608017,33397344,29317835,87.7849298435,20142660,60.3121613503,1485598,7.37538140444,N/A,24296,0.531754,1.19038,1.962328
GR_FLAG_rep1_8hr_JunB,41388016,41142133,36480218,88.6687571595,30687484,74.5889475395,2942657,9.58911131326,N/A,29162,0.617937,1.245729,1.759974
GR_FLAG_rep1_0hr_CEBPB,34647717,34451473,30772993,89.322720686,26415540,76.6746315898,4584439,17.3550834092,N/A,47096,0.629749,1.095541,1.302218
GR_FLAG_rep1_1hr_CEBPB,32790996,32531338,28379827,87.2384252993,21971367,67.5390818539,1114788,5.07382176084,N/A,23158,0.599065,1.110184,1.883163
GR_FLAG_rep1_12hr_CEBPB,34168406,33986552,29680987,87.3315627899,25407773,74.7583132293,135221,0.532203274958,N/A,3495,0.640177,1.019708,1.43247
GR_FLAG_rep1_4hr_CEBPB,45762638,45481945,39685022,87.2544522887,27654813,60.8039365951,985027,3.56186462009,N/A,17566,0.501911,1.078671,1.941532
GR_FLAG_rep1_8hr_CEBPB,47754454,47466604,41707892,87.8678660053,27393339,57.7107622867,1313884,4.79636308666,N/A,22918,0.470714,1.112113,1.840779
GR_FLAG_rep1_0hr_H3K27ac,74116018,73198842,66983439,91.5088779683,29229728,39.9319541148,21377924,73.1376083965,N/A,61602,0.401658,2.294768,1.331746
GR_FLAG_rep1_1hr_H3K27ac,65213439,64759556,59601673,92.0353329785,20892087,32.2610102515,15417723,73.7969500127,N/A,40228,0.371823,3.260731,1.356805
GR_FLAG_rep1_12hr_H3K27ac,72592658,72068787,65647761,91.090420323,38452980,53.3559417338,18758521,48.7830097953,N/A,46421,0.417232,1.59471,1.32557
GR_FLAG_rep1_4hr_H3K27ac,75584878,74859063,69012575,92.1900064392,20454408,27.3238899611,14074864,68.8109086315,N/A,35130,0.39349,3.501788,1.357469
GR_FLAG_rep1_8hr_H3K27ac,72998098,72291601,65991397,91.2850124871,39803386,55.059488861,24039522,60.3956708608,N/A,45014,0.471768,1.861069,1.287
GR_FLAG_rep1_0hr_FLAG,33541496,33329977,28772163,86.3251810825,24255730,72.7745176662,358370,1.47746532469,N/A,12040,0.560456,1.054083,2.008891
GR_FLAG_rep1_1hr_FLAG,37225145,36965557,32001280,86.5705337539,18097580,48.9579529398,1817367,10.0420442954,N/A,28527,0.37341,1.254118,2.016123
GR_FLAG_rep1_12hr_FLAG,39656769,39388904,33474340,84.984187425,22382488,56.8243482987,214132,0.956694358554,N/A,8116,0.395949,1.101447,2.543752
GR_FLAG_rep1_4hr_FLAG,33395782,33112810,28444138,85.9007073093,18170794,54.8754213249,632632,3.48158699064,N/A,11538,0.414247,1.174818,2.330743
GR_FLAG_rep1_8hr_FLAG,33882201,33570028,28832660,85.8881023275,19960325,59.4587678032,670384,3.35858258821,N/A,13135,0.453469,1.167695,2.106885
GR_FLAG_rep1_0hr_c-Jun,33437334,33243558,29656959,89.2111458106,25038856,75.3194227886,6459920,25.7995812588,N/A,43422,0.647434,1.394469,1.344569
GR_FLAG_rep1_1hr_c-Jun,37922029,37621831,33048212,87.8431780739,22053153,58.6179683812,7083533,32.1202732326,N/A,41339,0.50353,1.691117,1.33465
GR_FLAG_rep1_12hr_c-Jun,39861471,39653399,34767993,87.6797295485,28228250,71.1874661741,3377829,11.9661296751,N/A,19537,0.586233,1.286551,1.340594
GR_FLAG_rep1_4hr_c-Jun,34408851,34197224,30235591,88.4153374555,20631140,60.3298677109,4582547,22.2117973122,N/A,31922,0.523465,1.485333,1.339554
GR_FLAG_rep1_8hr_c-Jun,30686576,30480136,26706512,87.6193990735,17469457,57.314235737,4660843,26.6799534754,N/A,31232,0.503212,1.853054,1.283662
InputCtrl_GR_FLAG_rep1_0hr,39709510,39520628,34707591,87.8214561773,N/A,N/A,N/A,N/A,N/A,N/A,0.652615,N/A,N/A
InputCtrl_GR_FLAG_rep1_1hr,35834132,35556654,29626875,83.3230117772,N/A,N/A,N/A,N/A,N/A,N/A,0.61984,N/A,N/A
InputCtrl_GR_FLAG_rep1_12hr,33708454,33459770,28454564,85.0411225182,N/A,N/A,N/A,N/A,N/A,N/A,0.525523,N/A,N/A
InputCtrl_GR_FLAG_rep1_4hr,34523411,34239258,29200665,85.2841641603,N/A,N/A,N/A,N/A,N/A,N/A,0.572654,N/A,N/A
InputCtrl_GR_FLAG_rep1_8hr,31462839,31238655,26569221,85.0523846177,N/A,N/A,N/A,N/A,N/A,N/A,0.560187,N/A,N/A
